paper_id,paper_title,main_classification,subclassification,focus,main_contribution,context,data_collection,tries_to_help_users_to,summary_tries_to_help_to,keywords,sample_size,sample_demographics,sample_recruitment,user_compensation,user_level,domain,publication_type,authors,year,venue
P1,A “Nutrition Label” for Privacy,Raise Privacy Awareness,Improving visual presentation,Communication of privacy policies,"Present a ""nutrition label"" privacy - an information design that improves the visual presentation and comprehensibility of privacy policies",Privacy policy: visual presentation through privacy labels,Lab. exp.,"find information more quickly and accurately, with a more enjoyable information seeking experience.",raise knowledge of privacy policies,privacy; P3P; policy; user interface; information design; labeling; nutrition label.,24,general,online,direct payment,N/A,Online Services,Conference Paper,"Kelley, Patrick Gage; Bresee, Joanna; Cranor, Lorrie Faith; Reeder, Robert W.",2009,Proceedings of the 5th Symposium on Usable Privacy and Security - SOUPS '09
P2,A Blockchain-based approach for matching desired and real privacy settings of social network users,Control Information Disclosure,interaction with social networks,Privacy management in OSNs,Propose a decentralized approach to manage the privacy settings of a user,Privacy settings:the blockchain is in charge of storing both the privacy preferences of a user and the privacy settings assigned to him/her by a social network,Prototype,detect changes in her privacy settings,manage privacy settings,Facebook; Instagram; smart contract; Ethereum DApp; Accountability GDPR,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Lax G., Russo A., Fascì L.S.",2021,Information Sciences
P3,A Context-sensitive Privacy-aware Framework for Proactive Location-based Services,Control Information Disclosure,Manage Privacy Settings,Location privacy,"Introduces a powerful privacy-aware framework for proactive LBS that enables user-configured, applicationspecific and context-sensitive privacy preferences","Information sharing: the framework uses device-based policies and rules to enforce the user’s individually configured privacy preferences in order to fulfill the prerequisites. Furthermore, the framework uses multiple conjunctive context dimensions to permit or deny location sharing in different situations",Proof-of-concept,individually define different privacy preferences for different contexts,manage privacy settings,-,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Deva B., Garzon S.R., Schunemann S.",2016,"Proceedings - NGMAST 2015: The 9th International Conference on Next Generation Mobile Applications, Services and Technologies"
P4,A Framework for Computing the Privacy Scores of Users in Online Social Networks,Raise Privacy Awareness,Risk communication,privacy score of the user interaction in social networks,Propose a framework that estimates a privacy score for each user,Privacy settings: a calculated privacy score indicates to the user the potential risk caused by her participation (information disclosure) in the online social network.,Experiment with dataset,enhance awareness of privacy  and to reduce the complexity of managing information sharing in social networks,raise privacy awareness,Social networks; item-response theory; expectation maximization; maximum-likelihood estimation; information propagation,153,general,online,None,lay,Social Networks,Journal Article,"Liu K., Terzi E.",2010,ACM Transactions on Knowledge Discovery from Data
P5,A Framework for Personalized Location Privacy,Control Information Disclosure,Control Information Disclosure,Location privacy,"Propose a general framework called SmartGuard, which dynamically selects the best privacy preservation strategy for a user based on her preferences and the current status of her mobile device","Information sharing: SmartGuard quantifies user privacy under various scenarios, models the effects of different PPMs on several key factors such as the remaining battery level and network bandwidth, and then recommends the best privacy strategy for the user",Experiment with dataset,protect location privacy,control information disclosure,Privacy preservation; framework; location-based services; resource consumption,-,N/A,N/A,N/A,N/A,Software applications,Journal Article,"Niu B., Li Q., Wang H., Cao G., Li F., Li H.",2022,IEEE Transactions on Mobile Computing
P6,A framework for protecting personal information and privacy,Control Information Disclosure,Control Information Disclosure,Permission dialogue in IdPs,"Propose a privacy protection model to evaluate property risk of users, which takes into account both sensitivity of the property and requester’s level of assurance",Permission dialogue for IdP consent: presentantion of the calculated property sensitivity,Experiment with dataset,process authorization requests more accurately and rapidly and deal with authorization decision accurately,control information disclosure,personal information; privacy risk; sensitivity; privacy protection model,-,N/A,N/A,N/A,N/A,Online Services,Journal Article,"Zheng, H.; Yuan, Q.; Chen, J.",2015,Security and Communication Networks
P7,A human-centered artificial intelligence approach for privacy protection of elderly App users in smart cities,Control Information Disclosure,Recommendation-based,Android permission model,"Propose two algorithms, the participatory privacy protection algorithm-I, and participatory privacy protection algorithm-II, for determining optimal privacy settings of an Ambient Assisted Living App and handling its runtime Permission requests, respectively",Privacy settings: integrate privacy as a shared responsibility model and propose using the decisions and preferences of expert Android users for determining the privacy settings of AAL (ambient assisted living) apps,Experiment with dataset,be relieved of cognitive loads resulting from the complex decision-making associated with the privacy self-management model,manage privacy settings,Smart city; Ambient assisted living; Human-centered AI; Privacy as a shared responsibility; Soft sets; Cognitive offloading,20,Other,online,N/A,expert,Software applications,Journal Article,"Elahi H., Castiglione A., Wang G., Geman O.",2021,Neurocomputing
P8,A joint sharing approach for online privacy preservation,Control Information Disclosure,Negotiation and conflict resolution,Joint sharing of online objects in OSNs by using latest tools and technologies,Proposes a collaborative sharing model that works on the principles of joint sharing to fulfill privacy needs of OSN users on shared objects,"Information sharing: Joint sharing of online objects is achieved through merging of user rights, which also helps to satisfy privacy needs of each involved user.",Online exp.,protect data associated with multiple users,manage multiparty privacy,access control; joint sharing; online privacy; online social networks,200,general,NI,NI,mixed,Social Networks,Journal Article,"Muhammad T., Ahmad A.",2021,World Wide Web
P9,A machine learning solution to assess privacy policy completeness: (short paper),Raise Privacy Awareness,Enabling privacy policy assessment,providing a structured way to browse the policy content,"Present a solution to assist the user by providing a structured way to browse the policy content and by automatically assessing the completeness of a policy, i.e. the degree of coverage of privacy categories important to the user",Privacy policy: automatic evaluation of completeness using machine learning,Lab. exp.,easily discover if privacy categories of his interest are covered by a policy,raise knowledge of privacy policies,privacy; privacy policy; natural language; machine learning,-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Costante, Elisa; Sun, Yuanhao; Petković, Milan; den Hartog, Jerry",2012,Proceedings of the 2012 ACM workshop on Privacy in the electronic society
P10,A machine-learning based approach for measuring the completeness of online privacy policies,Raise Privacy Awareness,Enabling privacy policy assessment,an automated process notify the user about the important sections missing from a given privacy policy,Describe an automated approach for assisting users to evaluate online privacy policies based on completeness,Privacy policy: an automated process notify the user about the important sections missing from a given privacy policy,Proof-of-concept,assess the risk to their privacy,raise knowledge of privacy policies,privacy policy; transparency; completeness; machine learning; text mining,-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Guntamukkala N., Dara R., Grewal G.",2016,"Proceedings - 2015 IEEE 14th International Conference on Machine Learning and Applications, ICMLA 2015"
