final theme,final subtheme,design,type,paper_count,concatenated_comp_refs,paper_ids,cited_papers
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Between-subjects,Field Study,2,"15, <br>150","P75,<br>P139","\cite{p75,p139}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Between-subjects,Laboratory Experiment,6,"30,  <br>31, 44, 65, <br,>110, 238","P49, P68,<br> P97, P117,<br> P191, P226","\cite{p68,p191,p117,p97,p226,p49}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Between-subjects,Online Experiment,3,"104,<br> 146,<br> 187","P20, <br>P26,<br>P78","\cite{p26,p78,p20}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Within-subjects,Laboratory Experiment,4,"85, 134,<br>191, 235","P38, <br>P150, P173,<br>P196","\cite{p196,p38,p173,p150}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Within-subjects,Online Experiment,1,81,"P112","\cite{p112}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Mixed,Laboratory Experiment,1,111,"P95","\cite{p95}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Mixed,Survey,1,186,"P98","\cite{p98}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,NA,Laboratory Experiment,1,257,"P50","\cite{p50}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,NA,Online Experiment,3,"4, <br>128,<br> 241","P183, <br>P137,<br> P204","\cite{p183,p137, p204}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,NA,Survey,4,"90, <br>73,144, <br>149","P4, P115, <br>P136, <br>P184","\cite{p184,p136,p115,p4}"
Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,NA,Semi-structured <br>interview,1,9,"P217","\cite{p217}"
Raising Privacy Awareness,Visualising Disclosed Information,Within-subjects,Laboratory Experiment,2,"172,<br> 174","P85,<br> P227","\cite{p85,p227}"
Raising Privacy Awareness,Visualising Disclosed Information,Within-subjects,Online Experiment,1,213,"P25","\cite{p25}"
Raising Privacy Awareness,Visualising Disclosed Information,Mixed,Laboratory Experiment,1,243,"P62","\cite{p62}"
Raising Privacy Awareness,Visualising Disclosed Information,NA,Semi-structured <br>interview,1,113,"P224","\cite{p224}"
Raising Privacy Awareness,Visualising Disclosed Information,NA,Task Analysis,2,"131,<br>199","P67, <br>P225","\cite{p225,p67}"
